oi,ModelYear,Make,Model,Trim,BodyClass,NumberOfOwners,MostRecentOwner,MostRecentPurchaseDate,LastReportedCity,LastReportedState,LastReportedMiles,AccidentHistory,TitleStatus,ServiceRecordCount,LastServiceDate,LastServiceLocationOnCarFax,LastServiceCityOnCarFax
JTEHT05J822033262,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05JX22033263,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J122033264,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J322033265,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J522033266,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J722033267,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J922033268,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J022033269,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J722033270,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J922033271,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J022033272,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J222033273,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J422033274,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J622033275,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J822033276,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05JX22033277,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J122033278,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J322033279,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05JX22033280,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J122033281,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J322033282,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J522033283,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J722033284,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J922033285,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J022033286,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J222033287,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J422033288,2002,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
